handle,level
https://www.youtube.com/@portillo,intermediate
https://www.youtube.com/@kike.arnaiz/videos,intermediate
https://www.youtube.com/@GQSpain,intermediate
https://www.youtube.com/@Mohee,intermediate
https://www.youtube.com/@ShannonLeeman.,intermediate
https://www.youtube.com/@JDanielYT,intermediate
https://www.youtube.com/@sabiduriapsicodelica,intermediate
https://www.youtube.com/@LasNotasdelAprendiz/videos,intermediate
https://www.youtube.com/@hablemosconlavida,intermediate
https://www.youtube.com/@ElPinguinoCosmico,intermediate
https://www.youtube.com/@annacampstarot,intermediate
https://www.youtube.com/@DemiRanchoaTuCocina,intermediate
https://www.youtube.com/@JaujaCocinaMexicana,intermediate
https://www.youtube.com/@ElGuzii,intermediate
https://www.youtube.com/@CocinandoCorea,intermediate
https://www.youtube.com/@calixtoserna-mexicocooking5842,intermediate
https://www.youtube.com/@LADOBMELOMANOS,intermediate
https://www.youtube.com/@GeorgefiVe,intermediate
https://www.youtube.com/@Gabomania,intermediate
https://www.youtube.com/@adricarra,intermediate
https://www.youtube.com/@BlueyEspanol,intermediate
https://www.youtube.com/@Mextalki,advanced
https://www.youtube.com/@nohaytospodcast,advanced
https://www.youtube.com/@Martinadquiereunidioma,advanced
https://www.youtube.com/@ventureoutspanish,advanced
https://www.youtube.com/@superholly,advanced
https://www.youtube.com/@clasesconclau,advanced
https://www.youtube.com/@sensationalspain,advanced
https://www.youtube.com/@SmelSerendipia/videos,advanced
https://www.youtube.com/@SpanishWithAntonio,advanced
https://www.youtube.com/@espanolcoloquialytal,advanced
https://www.youtube.com/@thespanishontheroad,advanced
https://youtube.com/@palomasicomprendo,advanced
https://www.youtube.com/@SpanishwithVicente,advanced
https://www.youtube.com/@MrSalas,advanced
https://www.youtube.com/@Wissbegierde,advanced
https://www.youtube.com/@shawasacademy,advanced
https://www.youtube.com/@naturalanguages/videos,advanced
https://www.youtube.com/@idiomasconsandra,advanced
https://www.youtube.com/@31minutos,advanced
https://www.youtube.com/@NationalGeographicEspanol/videos,advanced
https://www.youtube.com/@sofiaroch6548,advanced
https://www.youtube.com/@comoestudiaryaprobarenlaun4590,advanced
https://www.youtube.com/@nasa_es/videos,advanced
https://www.youtube.com/@infoclima,advanced
https://www.youtube.com/@Meganoticiasoficial/videos,advanced
https://www.youtube.com/@VisualPolitik,advanced
https://www.youtube.com/@AdrianaChilito/videos,advanced
https://www.youtube.com/@Enrailados/videos,advanced
https://www.youtube.com/@ahombrosdegigantes9811,advanced
https://www.youtube.com/@kurzgesagt_es,advanced
https://www.youtube.com/@Kosmo_ES,advanced
https://www.youtube.com/@CienciaDeSofa,advanced
